target,comparison,n_subjects,n_model_seeds,accuracy_delta_mean,accuracy_delta_std,accuracy_delta_ci95_low,accuracy_delta_ci95_high,balanced_accuracy_delta_mean,balanced_accuracy_delta_std,balanced_accuracy_delta_ci95_low,balanced_accuracy_delta_ci95_high,macro_f1_delta_mean,macro_f1_delta_std,macro_f1_delta_ci95_low,macro_f1_delta_ci95_high,balanced_accuracy_sign_flip_p_raw,balanced_accuracy_sign_flip_p_holm
content_function,all_fixations_minus_first_fixation,18,5,0.031418489041707735,0.053436006855471625,0.006397388807973731,0.05438926583711104,0.05181714586927628,0.01958163161669314,0.0429336525040099,0.06051991959785697,0.03949693015762056,0.0411897881144263,0.01981202224117906,0.05669852795317621,1.1444048141295848e-05,2.2888096282591697e-05
coarse_pos,all_fixations_minus_first_fixation,18,5,0.027238491578374473,0.020948413676210777,0.017723621683686564,0.03643408799089909,0.023095705289677044,0.010076932090524326,0.018498894719687103,0.027536521647488762,0.014635078096204367,0.01438317885203999,0.0080051584221487,0.02086612237402379,1.1444048141295848e-05,2.2888096282591697e-05
