target,condition,n_removed_channels,mean,std,ci95_low,ci95_high,n_subjects,delta_vs_none,delta_vs_none_ci95_low,delta_vs_none_ci95_high,p_vs_none_unadjusted,p_vs_none_holm,matched_random,delta_vs_matched_random,delta_vs_matched_ci95_low,delta_vs_matched_ci95_high,p_vs_matched_unadjusted,p_vs_matched_holm
content_function,none,0,0.5898260661585465,0.029344255167422614,0.5771247229585693,0.6034266387324148,18,0.0,0.0,0.0,,,,,,,,
content_function,official_frontal_left_9pairs,9,0.5891586554588294,0.028962858994030023,0.5765408623076146,0.6025506238265551,18,-0.0006674106997169983,-0.0021634715718472364,0.0008662965509106741,0.416717529296875,1.0,random_match_n009,-0.00042089293140012973,-0.001963858963672237,0.0011035241239841116,0.6075592041015625,1.0
content_function,official_frontal_right_9pairs,9,0.5900577563128778,0.029740961246567756,0.5772276145094399,0.6039636156135644,18,0.00023169015433141847,-0.0015574784033766805,0.0018582163801406954,0.8034896850585938,1.0,random_match_n009,0.000478207922648287,-0.002083177481282832,0.0027770994784660987,0.7190475463867188,1.0
content_function,official_frontal_bilateral_9pairs,18,0.5885418158816997,0.02948403276565475,0.5757618411275438,0.6023114342973263,18,-0.001284250276846662,-0.003546444022300303,0.001139535926214441,0.30733489990234375,1.0,random_match_n018,0.00041363067458176513,-0.0027017220324365744,0.0036386760962207805,0.807861328125,1.0
content_function,official_left_homologue_set,48,0.5831169915719652,0.028140999051218748,0.571117252124437,0.5963149323659404,18,-0.006709074586581302,-0.011108612194357532,-0.002531244093016394,0.00649261474609375,0.0649261474609375,random_match_n048,-0.00035635780901984343,-0.00402772641047374,0.0030421696619914573,0.8497085571289062,1.0
content_function,official_right_homologue_set,48,0.5890539466134487,0.031168690055887776,0.5754040764866378,0.6033895214200912,18,-0.000772119545097785,-0.005538083232947419,0.004085858759521385,0.7627639770507812,1.0,random_match_n048,0.005580597232463674,0.0008975969011917401,0.010561556203608966,0.041168212890625,0.370513916015625
content_function,random_match_n009,9,0.5895795483902295,0.029250930560250528,0.5769064098597529,0.6031535524209405,18,-0.0002465177683168686,-0.0017438442532244267,0.0012403510688009118,0.7541580200195312,,,,,,,
content_function,random_match_n018,18,0.588128185207118,0.02840019235047163,0.5757889889479958,0.6012218603796678,18,-0.001697880951428427,-0.0035844710325519317,0.00015514108632374898,0.1003570556640625,,,,,,,
content_function,random_match_n048,48,0.583473349380985,0.027920632755338216,0.5713719338268125,0.5963730218438944,18,-0.006352716777561458,-0.009211870898248608,-0.0033991676635972694,0.00102996826171875,,,,,,,
coarse_pos,none,0,0.23729162482644175,0.01246449492888772,0.23177313681661454,0.24293459383560873,18,0.0,0.0,0.0,,,,,,,,
coarse_pos,official_frontal_left_9pairs,9,0.23767176106539095,0.011969296171245168,0.23230298615650358,0.24303935908196653,18,0.00038013623894910594,-0.0008219400132426652,0.0015249509805162092,0.5391464233398438,1.0,random_match_n009,0.0007383632624138958,-0.0001817632917410898,0.0016990976301899685,0.15634918212890625,1.0
coarse_pos,official_frontal_right_9pairs,9,0.23657428446580925,0.011506978391693332,0.23147672471722835,0.24180316463364726,18,-0.0007173403606325916,-0.0021840665121035225,0.0008106230905188451,0.369171142578125,1.0,random_match_n009,-0.0003591133371678018,-0.0016649232768625674,0.0009492844221464161,0.6074295043945312,1.0
coarse_pos,official_frontal_bilateral_9pairs,18,0.23618927403919132,0.01189057111882877,0.23094853962218062,0.24159633354654964,18,-0.0011023507872505122,-0.0024707454439488103,0.0004421706192389021,0.16916656494140625,1.0,random_match_n018,2.7214179650070225e-05,-0.0010698652105438514,0.001181257520031437,0.9636917114257812,1.0
coarse_pos,official_left_homologue_set,48,0.23434477914296328,0.012055459739236636,0.22898132660904302,0.2397673531164055,18,-0.002946845683478518,-0.005129005935446315,-0.0008321842151055489,0.0184326171875,0.1658935546875,random_match_n048,0.0025886566290646285,0.00030993193740891953,0.004791343051079112,0.04308319091796875,0.370513916015625
coarse_pos,official_right_homologue_set,48,0.23458685371474125,0.011883643158250665,0.22931160273007717,0.23991912975498403,18,-0.0027047711117005554,-0.005687446398327199,0.0001978301251990816,0.0984649658203125,0.7877197265625,random_match_n048,0.0028307312008425908,0.000615120781882939,0.004927775788019102,0.02455902099609375,0.2455902099609375
coarse_pos,random_match_n009,9,0.23693339780297704,0.012078703861478874,0.2315323923307833,0.2423645278784726,18,-0.0003582270234647898,-0.001176945208017064,0.0004401818056610296,0.41805267333984375,,,,,,,
coarse_pos,random_match_n018,18,0.23616205985954122,0.011748019558773234,0.230969129752188,0.241447133041486,18,-0.0011295649669005824,-0.0023766085728113115,3.153612774207295e-05,0.0948638916015625,,,,,,,
coarse_pos,random_match_n048,48,0.23175612251389868,0.011964336227503963,0.22639056191242535,0.2370965726843579,18,-0.005535502312543146,-0.008665155820525185,-0.0024173334438385456,0.00365447998046875,,,,,,,
