target,label,precision_mean,recall_mean,f1_mean,f1_ci95_low,f1_ci95_high,n_subjects
content_function,function,0.312612265992735,0.6246110743869977,0.4049098104697607,0.387999423593182,0.42206630880962404,18
content_function,content,0.8266562179307729,0.5550410579300953,0.65051160661413,0.6021879502809924,0.696824846041963,18
coarse_pos,function,0.3117455119955178,0.6206617323194636,0.3998139002639233,0.38312264166362836,0.4174201389439655,18
coarse_pos,noun,0.45635975564695447,0.17854966127679434,0.2494232405974871,0.2239690917972924,0.2736591249497137,18
coarse_pos,verb,0.18387845067309505,0.08734221721576974,0.11540403023926521,0.10111890215830423,0.12874432066891134,18
coarse_pos,adjective,0.16059433841095994,0.19402772815069003,0.16303955252891336,0.14289342225251644,0.18159109953847422,18
coarse_pos,adverb,0.04460647481039653,0.10587678516949138,0.06052109391917423,0.05666015170000136,0.06448654832970946,18
