representation,target,test_subject,n_model_seeds,accuracy,balanced_accuracy,macro_f1
all_fixations,content_function,YMD,5,0.49835415427325,0.5955758096350194,0.4957411156165688
all_fixations,content_function,YMS,5,0.662943722943723,0.6144937551315528,0.5965092085483372
all_fixations,content_function,YRH,5,0.5215567209494895,0.5597446838833535,0.4973133254243406
all_fixations,content_function,YRK,5,0.47208569628229363,0.5973237652549634,0.4690181197419845
all_fixations,content_function,YRP,5,0.6276065276518586,0.5817523931992186,0.5664518582803455
all_fixations,content_function,YSD,5,0.5954802259887007,0.6268764495045331,0.548635812392426
all_fixations,content_function,YSL,5,0.6235925925925926,0.5924129301382748,0.5791624081147678
all_fixations,content_function,YTL,5,0.6238510762070971,0.5996162458932471,0.5803523104002386
first_fixation,coarse_pos,YAC,5,0.22940026075619296,0.22563847264478776,0.14830641808552486
first_fixation,coarse_pos,YAG,5,0.2886157565988314,0.2229668058275316,0.20530775095513784
first_fixation,coarse_pos,YAK,5,0.280758226037196,0.21985286820666028,0.17391697371819154
first_fixation,coarse_pos,YDG,5,0.24938271604938272,0.21708962515454816,0.19742566345002305
first_fixation,coarse_pos,YDR,5,0.259988551803091,0.2122968179867298,0.17584363709309508
first_fixation,coarse_pos,YFR,5,0.24339963833634717,0.19622138647678944,0.18599758188811938
first_fixation,coarse_pos,YFS,5,0.2099033108702022,0.19912692860884704,0.15417256468594692
first_fixation,coarse_pos,YHS,5,0.22964364553768526,0.20780437811175076,0.14816733539873606
first_fixation,coarse_pos,YIS,5,0.22284403669724767,0.22256866252664276,0.1700519007645156
first_fixation,coarse_pos,YLS,5,0.22682926829268296,0.2211817633917929,0.1835026754236929
first_fixation,coarse_pos,YMD,5,0.2622645250842752,0.21536349310935066,0.17434088455649036
first_fixation,coarse_pos,YMS,5,0.22744588744588742,0.21823508543490666,0.17461174648292124
first_fixation,coarse_pos,YRH,5,0.24465912227435824,0.21426549366122466,0.17570475953120032
first_fixation,coarse_pos,YRK,5,0.2704473850031507,0.2197395381634693,0.17654116292502894
first_fixation,coarse_pos,YRP,5,0.23041704442429736,0.20811147674292507,0.1903722111304776
first_fixation,coarse_pos,YSD,5,0.21794871794871798,0.22086815707470606,0.19074509658747588
first_fixation,coarse_pos,YSL,5,0.2346296296296296,0.20835072530640292,0.18182707344060978
first_fixation,coarse_pos,YTL,5,0.29447353112274577,0.2174898315584212,0.2027121670594143
first_fixation,content_function,YAC,5,0.3241199478487614,0.53558227345721,0.3185643346920902
first_fixation,content_function,YAG,5,0.4777352407817852,0.5310233861098043,0.46339180041063066
first_fixation,content_function,YAK,5,0.45114449213161667,0.5356164140152146,0.4364522918931524
first_fixation,content_function,YDG,5,0.6907654320987653,0.5486821748508464,0.5352247240700925
first_fixation,content_function,YDR,5,0.46119061247853466,0.5383189894217931,0.4479367897879004
first_fixation,content_function,YFR,5,0.4862115732368896,0.4929090344853776,0.46761066103713655
first_fixation,content_function,YFS,5,0.4578376794608848,0.512961256950345,0.4346516008538224
first_fixation,content_function,YHS,5,0.476316619362977,0.5338418658179138,0.44638442727191274
