target,test_subject,loss_rate,n_removed_channels,actual_removed_fraction,n_model_seeds,masks_per_subject_per_model_seed,accuracy,balanced_accuracy,macro_f1
coarse_pos,YAC,0.0,0,0.0,5,1,0.2170795306388527,0.2268619268784123,0.1327860090332619
coarse_pos,YAC,0.1,10,0.09523809523809523,5,20,0.21307040417209908,0.22456445306422407,0.127380273115349
coarse_pos,YAC,0.25,26,0.24761904761904763,5,20,0.20828552803129075,0.22206194737509294,0.12007464320776243
coarse_pos,YAC,0.5,52,0.49523809523809526,5,20,0.1985560625814863,0.21585680883921293,0.10376361387336563
coarse_pos,YAG,0.0,0,0.0,5,1,0.3040096715696151,0.23911524945146168,0.20646367143916183
coarse_pos,YAG,0.1,10,0.09523809523809523,5,20,0.30246826516220027,0.23857371152606377,0.20224117783947504
coarse_pos,YAG,0.25,26,0.24761904761904763,5,20,0.30006447713076767,0.2358033275247038,0.19485386346897643
coarse_pos,YAG,0.5,52,0.49523809523809526,5,20,0.28544227281885953,0.22553520145120626,0.1639970916848463
coarse_pos,YAK,0.0,0,0.0,5,1,0.26959942775393414,0.2365797942880677,0.17482569547587118
coarse_pos,YAK,0.1,10,0.09523809523809523,5,20,0.26658798283261803,0.23445014107371792,0.16827699514221583
coarse_pos,YAK,0.25,26,0.24761904761904763,5,20,0.26070100143061514,0.22865378071807313,0.1538300607529936
coarse_pos,YAK,0.5,52,0.49523809523809526,5,20,0.24368383404864086,0.21661558262510386,0.12111074499253763
coarse_pos,YDG,0.0,0,0.0,5,1,0.28014814814814815,0.24624753347389688,0.2090240542505121
coarse_pos,YDG,0.1,10,0.09523809523809523,5,20,0.28246172839506173,0.24580205190861476,0.20705084087084208
coarse_pos,YDG,0.25,26,0.24761904761904763,5,20,0.283758024691358,0.24566574262246293,0.20368220998924577
coarse_pos,YDG,0.5,52,0.49523809523809526,5,20,0.27110370370370374,0.23877307649901908,0.18229044480250822
coarse_pos,YDR,0.0,0,0.0,5,1,0.2750429307384087,0.2380032782808641,0.18661557695659373
coarse_pos,YDR,0.1,10,0.09523809523809523,5,20,0.2714224384659416,0.23425238136752982,0.1795355548766568
coarse_pos,YDR,0.25,26,0.24761904761904763,5,20,0.2670492272467086,0.22991261180267863,0.16933690454033262
coarse_pos,YDR,0.5,52,0.49523809523809526,5,20,0.256067544361763,0.21936252520125077,0.13886103495400764
coarse_pos,YFR,0.0,0,0.0,5,1,0.29471066907775767,0.2170483244475053,0.20277972318789975
coarse_pos,YFR,0.1,10,0.09523809523809523,5,20,0.29726943942133816,0.21750340674508517,0.20277282109204728
coarse_pos,YFR,0.25,26,0.24761904761904763,5,20,0.30301989150090414,0.21899448412404268,0.2014301827290205
coarse_pos,YFR,0.5,52,0.49523809523809526,5,20,0.3074367088607595,0.21811547372973208,0.19094195658972452
coarse_pos,YFS,0.0,0,0.0,5,1,0.24172282449457955,0.22850623676582119,0.17927887628853437
coarse_pos,YFS,0.1,10,0.09523809523809523,5,20,0.24472897743920305,0.2280164399566335,0.17858123493562425
coarse_pos,YFS,0.25,26,0.24761904761904763,5,20,0.24766481101670085,0.22927649504777342,0.17339000221810014
coarse_pos,YFS,0.5,52,0.49523809523809526,5,20,0.2494257251684735,0.2256442665331721,0.1608038858930112
coarse_pos,YHS,0.0,0,0.0,5,1,0.23525701671397034,0.2191627640947252,0.14009427922125323
coarse_pos,YHS,0.1,10,0.09523809523809523,5,20,0.23287606433301802,0.2168897412070819,0.13247141840247295
coarse_pos,YHS,0.25,26,0.24761904761904763,5,20,0.2303311258278146,0.2153760100646121,0.12227340467200527
coarse_pos,YHS,0.5,52,0.49523809523809526,5,20,0.22025859350362662,0.2074788936654687,0.09528252032873245
coarse_pos,YIS,0.0,0,0.0,5,1,0.23885321100917428,0.2610103563306229,0.1911436994000624
coarse_pos,YIS,0.1,10,0.09523809523809523,5,20,0.23685550458715596,0.25910501489358617,0.18681679807508034
coarse_pos,YIS,0.25,26,0.24761904761904763,5,20,0.23278899082568807,0.25372115517589605,0.17711891207506655
coarse_pos,YIS,0.5,52,0.49523809523809526,5,20,0.21605963302752293,0.24082612260423047,0.14812190883286286
coarse_pos,YLS,0.0,0,0.0,5,1,0.26441893830703017,0.23781239452877873,0.21184178095972728
