target,test_subject,n_sentence_fold_seed_runs,mean_accuracy,standard_deviation_accuracy,mean_balanced_accuracy,standard_deviation_balanced_accuracy,mean_macro_f1,standard_deviation_macro_f1
coarse_pos,YAC,15,0.22277865061567226,0.024022008619655873,0.23014960566611203,0.009370411212631055,0.1394089876410346,0.017761160566230453
coarse_pos,YAG,15,0.2815961826969887,0.032626107158820805,0.24424615116469534,0.01447841341260273,0.2070388808955448,0.021113572930480298
coarse_pos,YAK,15,0.2550451393154231,0.028937780120511118,0.23369134310803388,0.018367042865569807,0.17389277499897637,0.023415652982754102
coarse_pos,YDG,15,0.25487349402338133,0.032222469475374646,0.24097941496905786,0.018612276004677658,0.20527233470678535,0.018467626319247987
coarse_pos,YDR,15,0.2638306344507181,0.024846350851892796,0.23456705446361925,0.011375084829141104,0.18322774816969847,0.01761525882714687
coarse_pos,YFR,15,0.27724412945924287,0.03639784108037375,0.2203183569159202,0.02281746814385248,0.19700786287228864,0.027235408962377642
coarse_pos,YFS,15,0.24156596685733842,0.01723574819191472,0.22438426308373002,0.012710442139794565,0.16482983052853756,0.015341123401633119
coarse_pos,YHS,15,0.22736231468164736,0.02075325779133022,0.2160770354886056,0.009620802523124163,0.13968529240827862,0.01739553033954472
coarse_pos,YIS,15,0.24736277979710658,0.028882427232451147,0.26603061097595415,0.013933587369880807,0.20397928376479327,0.01762064992652776
coarse_pos,YLS,15,0.25747315629207196,0.025137503515314796,0.2367237016683507,0.014967974905945584,0.2048356893877876,0.014907877970443179
coarse_pos,YMD,15,0.3012594289652091,0.013139790614088643,0.2503585403421683,0.01476994483577951,0.20494334287116545,0.017536728648900973
coarse_pos,YMS,15,0.2863440625106527,0.022510714402214773,0.25486656086472614,0.012697195803389842,0.21187777771639923,0.016364094491894562
coarse_pos,YRH,15,0.2473634862668813,0.03053556475096566,0.22790910729075609,0.011173356736559942,0.17636413195723194,0.01684936955325875
coarse_pos,YRK,15,0.28756845231769906,0.0301111117599564,0.2412609924699858,0.012887594111853076,0.17988655955890043,0.025461707654416153
coarse_pos,YRP,15,0.27914880507417733,0.021919824514783998,0.2371748620237189,0.019737304986454377,0.21561319218450542,0.01960122985000243
coarse_pos,YSD,15,0.2353930980264361,0.02539195253001585,0.24612810872753801,0.010023924556637778,0.18869751708974444,0.020297960756946738
coarse_pos,YSL,15,0.27373025642254506,0.03915952678448129,0.23568495488841482,0.015570153515530993,0.2140838870208669,0.020530139527037795
coarse_pos,YTL,15,0.2998996498028247,0.032449242018861194,0.24531275365777033,0.018420273847991105,0.22757164445725533,0.021760998706046943
content_function,YAC,15,0.37588774590082397,0.05227150783284004,0.5726449917128116,0.019133544741313766,0.3711807169663723,0.0461730161549526
content_function,YAG,15,0.5593602628794445,0.05300564417244815,0.590554602567822,0.022551767062180168,0.5367258206904933,0.03941142945688385
content_function,YAK,15,0.4632243066594649,0.06137823543543347,0.5772634142488423,0.025609271308512763,0.4529001321926896,0.05604411419071154
content_function,YDG,15,0.6286821110437679,0.05494506104185927,0.6044391642230681,0.025150150126945884,0.5566265461276778,0.03415914419469699
content_function,YDR,15,0.5033494459951658,0.030642946885271964,0.5752787723960611,0.011277831526812672,0.487359268958107,0.023358084867103494
content_function,YFR,15,0.549249274851544,0.030462192686210456,0.545688371113707,0.020026374660372392,0.5234291264743353,0.022647281936798144
content_function,YFS,15,0.4463255345178138,0.049102314314609125,0.5547978008310188,0.011077527314977945,0.4363260886925416,0.04204949779054427
content_function,YHS,15,0.38796382779187266,0.03921268453497067,0.5464575062268953,0.0185291856785422,0.3844424752880438,0.035450144705439404
content_function,YIS,15,0.6034445064567913,0.03615878486208115,0.6645294934874145,0.013881330049895774,0.5432199830770376,0.02682331193402976
content_function,YLS,15,0.590863958726172,0.031856170138325035,0.5850835385399439,0.02123052552253632,0.5463838073109614,0.02192129008995353
content_function,YMD,15,0.5456308271857236,0.03835937481333495,0.610818401454115,0.015621979456093747,0.5352942868928784,0.03189215758195924
content_function,YMS,15,0.6258561382711558,0.04455793825536409,0.6248857406296783,0.01202125812999447,0.5825004557312023,0.024874399365160702
content_function,YRH,15,0.5117470442160897,0.03388555157659884,0.5547812656258926,0.014476569009615359,0.4884763445928035,0.024861976915008886
content_function,YRK,15,0.4450699232969668,0.0547573380982217,0.586488954906265,0.01920619451495599,0.4415761123381839,0.055386170256354846
content_function,YRP,15,0.6211038865506958,0.028616891201012677,0.5788797019545011,0.021974017345496397,0.5622344148636889,0.020676347411147017
content_function,YSD,15,0.5847492514590371,0.04305499854580665,0.6201767935020018,0.024002343604656844,0.5391336556487778,0.03244904212697604
content_function,YSL,15,0.648160502987141,0.025230691136138628,0.5818470536126721,0.021056907103358332,0.579440000861066,0.020311742717946696
content_function,YTL,15,0.6240017559231712,0.034155100744000154,0.599238026623286,0.02631991488287056,0.5807405490339642,0.027175649191226205
