target,loss_rate,n_removed_channels,actual_removed_fraction,n_subjects,n_model_seeds,masks_per_subject_per_model_seed,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,balanced_accuracy_delta_mean,balanced_accuracy_delta_ci95_low,balanced_accuracy_delta_ci95_high,delta_sign_flip_p_raw,delta_sign_flip_p_holm
content_function,0.0,0,0.0,18,5,1,0.5438140569920119,0.10261920678005106,0.4950658195216219,0.5878186344294776,0.5876582947855851,0.03047792980343296,0.5745270585463631,0.6017760177572602,0.5088233471269852,0.07818284179953991,0.47089565622874985,0.5412792109822567,,,,,
content_function,0.1,10,0.09523809523809523,18,5,20,0.5356700119340174,0.09988013829854517,0.4888272158969804,0.5782485765894406,0.5862976777974958,0.030136705119236565,0.5733809641769609,0.600645230314598,0.5030711632097247,0.07775899586600347,0.46563936464449357,0.5354990622006606,-0.001360616988089289,-0.001981906166830472,-0.0007365042846043661,0.0008811917068797803,0.0035247668275191213
content_function,0.25,26,0.24761904761904763,18,5,20,0.5194351801662976,0.10001749533007931,0.4727414393825115,0.562427826404754,0.583059592905006,0.02978626529031213,0.5703931600781988,0.5969566641937373,0.49049009893792284,0.0808199421727133,0.45213617803755657,0.5245289821724136,-0.004598701880579025,-0.006838854359348683,-0.002353703584746837,0.0010337790154303916,0.0035247668275191213
content_function,0.5,52,0.49523809523809526,18,5,20,0.47568805086794363,0.09465095758164495,0.4321051366137807,0.5166599776419257,0.5729815769357719,0.027326872895825763,0.5611769849017052,0.5856053173280469,0.45397258768611537,0.08157245667985134,0.41571615091877306,0.48852111021055056,-0.014676717849813071,-0.019283219135569813,-0.010432570229915845,1.1444048141295848e-05,6.866428884777509e-05
coarse_pos,0.0,0,0.0,18,5,1,0.2729635612401479,0.028121219595145578,0.26015673058843625,0.2853526960678256,0.23793856695564852,0.012155022394406165,0.23262228123724488,0.24337957784439487,0.19294327827268223,0.025473243731122693,0.18096225028568463,0.20351445951722583,,,,,
coarse_pos,0.1,10,0.09523809523809523,18,5,20,0.2733198485852548,0.02887871048885519,0.2601604896289671,0.28596438752603737,0.23705165258497413,0.011949826170333544,0.23159417049080197,0.24239185043500758,0.1897505349919733,0.0272081393671663,0.1769959969950092,0.20128539150402291,-0.0008869143706744674,-0.0016233761984340044,-4.228121413775937e-05,0.05054073127467623,0.05054073127467623
coarse_pos,0.25,26,0.24761904761904763,18,5,20,0.273804346808474,0.030477473204954315,0.25976192597155173,0.2871642887243595,0.2352773562829957,0.011398786812777546,0.23016809518408243,0.24026726530015802,0.1834618297451066,0.029843583263363352,0.16918645825630937,0.1963351463204061,-0.0026612106726528165,-0.004559330368863085,-0.000744084059880391,0.017497949608041352,0.034995899216082704
coarse_pos,0.5,52,0.49523809523809526,18,5,20,0.2689662180562783,0.03486437156217505,0.2527502520358935,0.2841586307781742,0.2283618108737725,0.011008560125094784,0.22331651865732277,0.23317913861393383,0.16311080889123428,0.033788155516411504,0.14715560636475852,0.17752727108432456,-0.009576756081876026,-0.013227564360022058,-0.005920843210073845,0.00021743691468462112,0.0010871845734231056
