target,representation,n_subjects,n_model_seeds,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high
content_function,first_fixation,18,5,0.5123955679503042,0.0863180680222875,0.47324308256645176,0.5500396775745557,0.5358411489163086,0.01916429530717437,0.52725838238103,0.5444684070738516,0.4693264169693647,0.0540533523110703,0.4432272249745037,0.49135926376613714
content_function,all_fixations,18,5,0.5438140569920119,0.10261920678005106,0.49598487810752595,0.5878122781653544,0.5876582947855851,0.03047792980343296,0.5746841484085335,0.6021985528860253,0.5088233471269852,0.07818284179953991,0.4712167409528498,0.5413078036685515
coarse_pos,first_fixation,18,5,0.24572506966177343,0.025092139400840062,0.23465821623745262,0.2574019017426074,0.21484286166597152,0.008150037876933643,0.2109808245639144,0.21825655466617144,0.17830820017647786,0.016472168678335553,0.170656869837446,0.1855264956714882
coarse_pos,all_fixations,18,5,0.2729635612401479,0.028121219595145578,0.260199888769116,0.2853732619943926,0.23793856695564852,0.012155022394406165,0.2323612296673032,0.2433881456031437,0.19294327827268223,0.025473243731122693,0.1809920845416608,0.20377864768180698
