target,feature_set,mean,ci95_low,ci95_high
content_function,duration_fixation,0.5990734502743127,0.5852322822147903,0.6140630397155344
content_function,lexical_position,0.8108341362490887,0.8043709138372048,0.8168870150672629
content_function,combined_non_eeg,0.8117715814060736,0.8054503693358694,0.817723939925499
coarse_pos,duration_fixation,0.24707539453799698,0.24064179981630462,0.2537112866109891
coarse_pos,lexical_position,0.36229800735801054,0.3591069099846488,0.36544624285330507
coarse_pos,combined_non_eeg,0.35736872754682747,0.35381739126426226,0.36086317196397444
